question,answer
What is the capital of India?,New Delhi
What is the capital of Pakistan?,Islamabad
What is the capital of China?,Beijing
What is the capital of Japan?,Tokyo
What is the capital of France?,Paris
What is the capital of Germany?,Berlin
What is the capital of Italy?,Rome
What is the capital of Spain?,Madrid
What is the capital of Russia?,Moscow
What is the capital of Canada?,Ottawa
What is the capital of Australia?,Canberra
What is the capital of Brazil?,Brasilia
What is the capital of Egypt?,Cairo
What is the capital of Nigeria?,Abuja
What is the capital of Kenya?,Nairobi
What is the capital of South Africa?,Pretoria
What is the capital of Saudi Arabia?,Riyadh
What is the capital of United Arab Emirates?,Abu Dhabi
What is the capital of Turkey?,Ankara
What is the capital of Greece?,Athens
What is the capital of Portugal?,Lisbon
What is the capital of Netherlands?,Amsterdam
What is the capital of Belgium?,Brussels
What is the capital of Switzerland?,Bern
What is the capital of Sweden?,Stockholm
What is the capital of Norway?,Oslo
What is the capital of Denmark?,Copenhagen
What is the capital of Finland?,Helsinki
What is the capital of Poland?,Warsaw
What is the capital of Austria?,Vienna
What is the capital of Ireland?,Dublin
What is the capital of Iceland?,Reykjavik
What is the capital of Mexico?,Mexico City
What is the capital of Argentina?,Buenos Aires
What is the capital of Chile?,Santiago
What is the capital of Peru?,Lima
What is the capital of Colombia?,Bogota
What is the capital of Venezuela?,Caracas
What is the capital of Cuba?,Havana
What is the capital of South Korea?,Seoul
What is the capital of North Korea?,Pyongyang
What is the capital of Thailand?,Bangkok
What is the capital of Vietnam?,Hanoi
What is the capital of Indonesia?,Jakarta
What is the capital of Malaysia?,Kuala Lumpur
What is the capital of Singapore?,Singapore
What is the capital of Philippines?,Manila
What is the capital of Bangladesh?,Dhaka
What is the capital of Sri Lanka?,Colombo
What is the capital of Nepal?,Kathmandu
What is the capital of Afghanistan?,Kabul
What is the capital of Iran?,Tehran
What is the capital of Iraq?,Baghdad
What is the capital of Israel?,Jerusalem
What is the capital of Jordan?,Amman
What is the capital of Lebanon?,Beirut
What is the capital of Syria?,Damascus
What is the capital of Yemen?,Sanaa
What is the capital of Qatar?,Doha
What is the capital of Kuwait?,Kuwait City
What is the capital of Oman?,Muscat
What is the capital of Bahrain?,Manama
What is the capital of Ukraine?,Kyiv
What is the capital of Belarus?,Minsk
What is the capital of Hungary?,Budapest
What is the capital of Czech Republic?,Prague
What is the capital of Slovakia?,Bratislava
What is the capital of Romania?,Bucharest
What is the capital of Bulgaria?,Sofia
What is the capital of Serbia?,Belgrade
What is the capital of Croatia?,Zagreb
What is the capital of Slovenia?,Ljubljana
What is the capital of Bosnia and Herzegovina?,Sarajevo
What is the capital of Albania?,Tirana
What is the capital of Morocco?,Rabat
What is the capital of Algeria?,Algiers
What is the capital of Tunisia?,Tunis
What is the capital of Libya?,Tripoli
What is the capital of Sudan?,Khartoum
What is the capital of Ethiopia?,Addis Ababa
What is the capital of Ghana?,Accra
What is the capital of Tanzania?,Dodoma
What is the capital of Uganda?,Kampala
What is the capital of Zimbabwe?,Harare
What is the capital of Zambia?,Lusaka
What is the capital of Mozambique?,Maputo
What is the capital of Angola?,Luanda
What is the capital of Cameroon?,Yaounde
What is the capital of Senegal?,Dakar
What is the capital of New Zealand?,Wellington
What is the capital of Fiji?,Suva
What is the capital of Papua New Guinea?,Port Moresby
What is the capital of Mongolia?,Ulaanbaatar
What is the capital of Kazakhstan?,Astana
What is the capital of Uzbekistan?,Tashkent
What is the capital of Turkmenistan?,Ashgabat
What is the capital of Kyrgyzstan?,Bishkek
What is the capital of Tajikistan?,Dushanbe
What is the capital of Georgia?,Tbilisi
What is the capital of Armenia?,Yerevan
What is the capital of Azerbaijan?,Baku
What is the capital of Cyprus?,Nicosia
What is the capital of Malta?,Valletta
What is the capital of Luxembourg?,Luxembourg City
What is the capital of Estonia?,Tallinn
What is the capital of Latvia?,Riga
What is the capital of Lithuania?,Vilnius
What is the capital of Moldova?,Chisinau
What is the capital of Panama?,Panama City
What is the capital of Costa Rica?,San Jose
What is the capital of Guatemala?,Guatemala City
What is the capital of Honduras?,Tegucigalpa
What is the capital of El Salvador?,San Salvador
What is the capital of Nicaragua?,Managua
What is the capital of Jamaica?,Kingston
What is the capital of Haiti?,Port-au-Prince
What is the capital of Dominican Republic?,Santo Domingo
What is the capital of Bolivia?,Sucre
What is the capital of Ecuador?,Quito
What is the capital of Paraguay?,Asuncion
What is the capital of Uruguay?,Montevideo
What is the capital of United Kingdom?,London
What is the capital of United States?,Washington D.C.
What is the chemical symbol for Hydrogen?,H
Which element has the chemical symbol 'H'?,Hydrogen
What is the chemical symbol for Helium?,He
Which element has the chemical symbol 'He'?,Helium
What is the chemical symbol for Lithium?,Li
Which element has the chemical symbol 'Li'?,Lithium
What is the chemical symbol for Beryllium?,Be
Which element has the chemical symbol 'Be'?,Beryllium
What is the chemical symbol for Boron?,B
Which element has the chemical symbol 'B'?,Boron
What is the chemical symbol for Carbon?,C
Which element has the chemical symbol 'C'?,Carbon
What is the chemical symbol for Nitrogen?,N
Which element has the chemical symbol 'N'?,Nitrogen
What is the chemical symbol for Oxygen?,O
Which element has the chemical symbol 'O'?,Oxygen
What is the chemical symbol for Fluorine?,F
Which element has the chemical symbol 'F'?,Fluorine
What is the chemical symbol for Neon?,Ne
Which element has the chemical symbol 'Ne'?,Neon
What is the chemical symbol for Sodium?,Na
Which element has the chemical symbol 'Na'?,Sodium
What is the chemical symbol for Magnesium?,Mg
Which element has the chemical symbol 'Mg'?,Magnesium
What is the chemical symbol for Aluminium?,Al
Which element has the chemical symbol 'Al'?,Aluminium
What is the chemical symbol for Silicon?,Si
Which element has the chemical symbol 'Si'?,Silicon
What is the chemical symbol for Phosphorus?,P
Which element has the chemical symbol 'P'?,Phosphorus
What is the chemical symbol for Sulfur?,S
Which element has the chemical symbol 'S'?,Sulfur
What is the chemical symbol for Chlorine?,Cl
Which element has the chemical symbol 'Cl'?,Chlorine
What is the chemical symbol for Argon?,Ar
Which element has the chemical symbol 'Ar'?,Argon
What is the chemical symbol for Potassium?,K
Which element has the chemical symbol 'K'?,Potassium
What is the chemical symbol for Calcium?,Ca
Which element has the chemical symbol 'Ca'?,Calcium
What is the chemical symbol for Iron?,Fe
Which element has the chemical symbol 'Fe'?,Iron
What is the chemical symbol for Copper?,Cu
Which element has the chemical symbol 'Cu'?,Copper
What is the chemical symbol for Zinc?,Zn
Which element has the chemical symbol 'Zn'?,Zinc
What is the chemical symbol for Silver?,Ag
Which element has the chemical symbol 'Ag'?,Silver
What is the chemical symbol for Gold?,Au
